,id,name,artists,duration_ms,release_date,year,popularity,explicit,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key
0,2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,João Gomes,157175,2021-06-01,2021,0,False,0.369,0.668,0.887,1.39e-06,0.257,-4.404,0.0564,151.92,0.907,0,11
1,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,240400,2013-04-22,2013,90,False,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,124.053,0.398,1,10
2,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,200040,2020-03-20,2020,88,False,0.00143,0.513,0.73,9.54e-05,0.0897,-5.94,0.0598,171.001,0.334,1,1
3,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,182160,2019-05-17,2019,86,False,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,0.446,1,1
4,5CZ40GBx1sQ9agT82CLQCT,traitor,Olivia Rodrigo,229226,2021-05-21,2021,83,False,0.691,0.38,0.339,0.0,0.12,-7.885,0.0338,100.607,0.0849,1,3
5,6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,172626,2021-06-25,2021,82,True,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,0.881,0,5
6,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,174000,2019-12-13,2019,82,False,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,95.39,0.557,1,0
7,5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,215626,2020-03-20,2020,84,True,0.0212,0.679,0.825,1.21e-05,0.543,-5.487,0.0309,118.049,0.644,1,0
8,3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,211560,2017-12-08,2017,82,False,0.127,0.714,0.8,0.0,0.359,-4.808,0.0504,134.002,0.589,0,11
9,4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,298899,2021-07-30,2021,81,True,0.767,0.332,0.225,0.00349,0.128,-8.697,0.0348,81.055,0.297,1,0
10,6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rodrigo,215506,2021-05-21,2021,83,True,0.584,0.442,0.612,5.7e-06,0.37,-7.222,0.112,180.917,0.178,1,2
